iter	Passed	Remaining
0	0	66
1	1	60
2	1	55
3	2	52
4	2	51
5	3	50
6	3	49
7	4	48
8	4	47
9	5	46
10	5	45
11	6	44
12	6	43
13	6	42
14	7	42
15	7	41
16	8	41
17	8	40
18	9	40
19	10	40
20	10	40
21	11	39
22	11	38
23	12	38
24	12	37
25	13	37
26	14	38
27	14	37
28	15	37
29	15	37
30	16	36
31	17	36
32	17	35
33	18	35
34	18	34
35	19	33
36	19	33
37	19	32
38	20	31
39	20	31
40	21	30
41	21	30
42	22	29
43	22	28
44	22	28
45	23	27
46	24	27
47	24	27
48	25	26
49	26	26
50	26	25
51	27	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	20
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	37	14
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	41	10
79	41	10
80	42	9
81	42	9
82	43	8
83	43	8
84	44	7
85	44	7
86	45	6
87	45	6
88	46	5
89	46	5
90	47	4
91	48	4
92	49	3
93	50	3
94	51	2
95	52	2
96	52	1
97	53	1
98	54	0
99	54	0
